tconst,title,year,genres,rating,votes,directorID,topActors
tt0000574,The Story of the Kelly Gang,1906.0,"Action,Adventure,Biography",6.0,1006,nm0846879,"['nm0846887', 'nm0846894', 'nm1431224']"
tt0002130,Dante's Inferno,1911.0,"Adventure,Drama,Fantasy",7.0,3847,"nm0078205,nm0655824,nm0209738","['nm0660139', 'nm0685283', 'nm0209738']"
tt0002423,Passion,1919.0,"Biography,Drama,Romance",6.6,1081,nm0523932,"['nm0624470', 'nm0417837', 'nm0509573']"
tt0002844,Fantômas: In the Shadow of the Guillotine,1913.0,"Crime,Drama",6.9,2643,nm0275421,"['nm0622772', 'nm0622772', 'nm0107631']"
tt0003014,Ingeborg Holm,1913.0,Drama,7.0,1541,nm0803705,"['nm0096737', 'nm0344981', 'nm0511806']"
tt0003037,Fantomas: The Man in Black,1913.0,"Crime,Drama",6.9,1794,nm0275421,"['nm0622772', 'nm0622772', 'nm0622772']"
tt0003165,Fantômas: The Dead Man Who Killed,1913.0,"Crime,Drama,Mystery",6.9,1429,nm0275421,"['nm0622772', 'nm0622772', 'nm0107631']"
tt0003419,The Student of Prague,1913.0,"Drama,Fantasy,Horror",6.4,2570,"nm0263912,nm0753233","['nm0917467', 'nm0074186', 'nm0758802']"
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914.0,"Crime,Drama,Horror",6.4,1531,nm0000428,"['nm0910400', 'nm0014894', 'nm0842239']"
tt0003740,Cabiria,1914.0,"Adventure,Drama,History",7.1,4185,nm0665163,"['nm0021935', 'nm0702894', 'nm0656034']"
tt0003772,Cinderella,1914.0,"Drama,Fantasy",6.0,1122,nm0456804,"['nm0681933', 'nm0601698', 'nm0894679']"
tt0003930,Fantomas: The Mysterious Finger Print,1914.0,"Crime,Drama",6.8,1513,nm0275421,"['nm0622772', 'nm0622772', 'nm0622772']"
tt0003952,Fantômas: The False Magistrate,1914.0,"Crime,Drama",6.7,1281,nm0275421,"['nm0622772', 'nm0622772', 'nm0107631']"
tt0004026,The Golem,1914.0,Horror,6.7,1295,"nm0917467,nm0301961","['nm0917467', 'nm0301961', 'nm0758802']"
tt0004181,Judith of Bethulia,1914.0,Drama,6.2,1503,nm0000428,"['nm0842239', 'nm0910400', 'nm0550615']"
tt0004465,The Perils of Pauline,1914.0,"Action,Adventure,Drama",6.3,1107,"nm0309163,nm0533289","['nm0925310', 'nm0928108', 'nm0659947']"
